glyph_index	text_code	char
0x04eb	0x02eb	꽥
0x04ec	0x02ec	꽹
0x04ed	0x02ed	꾀
0x04ee	0x02ee	꾄
0x04ef	0x02ef	꾈
0x04f0	0x02f0	꾐
0x04f1	0x02f1	꾑
0x04f2	0x02f2	꾕
0x04f3	0x02f3	꾜
0x04f4	0x02f4	꾸
0x04f5	0x02f5	꾹
0x04f6	0x02f6	꾼
0x04f7	0x02f7	꿀
0x04f8	0x02f8	꿇
0x04f9	0x02f9	꿈
0x04fa	0x02fa	꿉
0x04fb	0x02fb	꿋
0x04fc	0x02fc	꿍
0x04fd	0x02fd	꿎
0x04fe	0x02fe	꿔
0x04ff	0x02ff	꿜
0x0500	0x0300	꿨
0x0501	0x0301	꿩
0x0502	0x0302	꿰
0x0503	0x0303	꿱
0x0504	0x0304	꿴
0x0505	0x0305	꿸
0x0506	0x0306	뀀
0x0507	0x0307	뀁
0x0508	0x0308	뀄
0x0509	0x0309	뀌
0x050a	0x030a	뀐
0x050b	0x030b	뀔
0x050c	0x030c	뀜
0x050d	0x030d	뀝
0x050e	0x030e	뀨
0x050f	0x030f	끄
0x0510	0x0310	끅
0x0511	0x0311	끈
0x0512	0x0312	끊
0x0513	0x0313	끌
0x0514	0x0314	끎
0x0515	0x0315	끓
0x0516	0x0316	끔
0x0517	0x0317	끕
0x0518	0x0318	끗
0x0519	0x0319	끙
0x051a	0x031a	끝
0x051b	0x031b	끼
0x051c	0x031c	끽
0x051d	0x031d	낀
0x051e	0x031e	낄
0x051f	0x031f	낌
0x0520	0x0320	낍
0x0521	0x0321	낏
0x0522	0x0322	낑
0x0523	0x0323	나
0x0524	0x0324	낙
0x0525	0x0325	낚
0x0526	0x0326	난
0x0527	0x0327	낟
0x0528	0x0328	날
0x0529	0x0329	낡
0x052a	0x032a	낢
0x052b	0x032b	남
0x052c	0x032c	납
0x052d	0x032d	낫
0x052e	0x032e	났
0x052f	0x032f	낭
0x0530	0x0330	낮
0x0531	0x0331	낯
0x0532	0x0332	낱
0x0533	0x0333	낳
0x0534	0x0334	내
0x0535	0x0335	낵
0x0536	0x0336	낸
0x0537	0x0337	낼
0x0538	0x0338	냄
0x0539	0x0339	냅
0x053a	0x033a	냇
0x053b	0x033b	냈
0x053c	0x033c	냉
0x053d	0x033d	냐
0x053e	0x033e	냑
0x053f	0x033f	냔
0x0540	0x0340	냘
0x0541	0x0341	냠
0x0542	0x0342	냥
0x0543	0x0343	너
0x0544	0x0344	넉
0x0545	0x0345	넋
0x0546	0x0346	넌
0x0547	0x0347	널
0x0548	0x0348	넒
0x0549	0x0349	넓
0x054a	0x034a	넘
0x054b	0x034b	넙
0x054c	0x034c	넛
0x054d	0x034d	넜
0x054e	0x034e	넝
0x054f	0x034f	넣
0x0550	0x0350	네
0x0551	0x0351	넥
0x0552	0x0352	넨
0x0553	0x0353	넬
0x0554	0x0354	넴
0x0555	0x0355	넵
0x0556	0x0356	넷
0x0557	0x0357	넸
0x0558	0x0358	넹
0x0559	0x0359	녀
0x055a	0x035a	녁
0x055b	0x035b	년
0x055c	0x035c	녈
0x055d	0x035d	념
0x055e	0x035e	녑
0x055f	0x035f	녔
0x0560	0x0360	녕
0x0561	0x0361	녘
0x0562	0x0362	녜
0x0563	0x0363	녠
0x0564	0x0364	노
0x0565	0x0365	녹
0x0566	0x0366	논
0x0567	0x0367	놀
0x0568	0x0368	놂
0x0569	0x0369	놈
0x056a	0x036a	놉
0x056b	0x036b	놋
0x056c	0x036c	농
0x056d	0x036d	높
0x056e	0x036e	놓
0x056f	0x036f	놔
0x0570	0x0370	놘
0x0571	0x0371	놜
0x0572	0x0372	놨
0x0573	0x0373	뇌
0x0574	0x0374	뇐
0x0575	0x0375	뇔
0x0576	0x0376	뇜
0x0577	0x0377	뇝
0x0578	0x0378	뇟
0x0579	0x0379	뇨
0x057a	0x037a	뇩
0x057b	0x037b	뇬
0x057c	0x037c	뇰
0x057d	0x037d	뇹
0x057e	0x037e	뇻
0x057f	0x037f	뇽
0x0580	0x0380	누
0x0581	0x0381	눅
0x0582	0x0382	눈
0x0583	0x0383	눋
0x0584	0x0384	눌
0x0585	0x0385	눔
0x0586	0x0386	눕
0x0587	0x0387	눗
0x0588	0x0388	눙
0x0589	0x0389	눠
0x058a	0x038a	눴
0x058b	0x038b	눼
0x058c	0x038c	뉘
0x058d	0x038d	뉜
0x058e	0x038e	뉠
0x058f	0x038f	뉨
0x0590	0x0390	뉩
0x0591	0x0391	뉴
0x0592	0x0392	뉵
0x0593	0x0393	뉼
0x0594	0x0394	늄
0x0595	0x0395	늅
0x0596	0x0396	늉
0x0597	0x0397	느
0x0598	0x0398	늑
0x0599	0x0399	는
0x059a	0x039a	늘
0x059b	0x039b	늙
0x059c	0x039c	늚
0x059d	0x039d	늠
0x059e	0x039e	늡
0x059f	0x039f	늣
0x05a0	0x03a0	능
0x05a1	0x03a1	늦
0x05a2	0x03a2	늪
0x05a3	0x03a3	늬
0x05a4	0x03a4	늰
0x05a5	0x03a5	늴
0x05a6	0x03a6	니
0x05a7	0x03a7	닉
0x05a8	0x03a8	닌
0x05a9	0x03a9	닐
0x05aa	0x03aa	닒
0x05ab	0x03ab	님
0x05ac	0x03ac	닙
0x05ad	0x03ad	닛
0x05ae	0x03ae	닝
0x05af	0x03af	닢
0x05b0	0x03b0	다
0x05b1	0x03b1	닥
0x05b2	0x03b2	닦
0x05b3	0x03b3	단
0x05b4	0x03b4	닫
0x05b5	0x03b5	달
0x05b6	0x03b6	닭
0x05b7	0x03b7	닮
0x05b8	0x03b8	닯
0x05b9	0x03b9	닳
0x05ba	0x03ba	담
0x05bb	0x03bb	답
0x05bc	0x03bc	닷
0x05bd	0x03bd	닸
0x05be	0x03be	당
0x05bf	0x03bf	닺
0x05c0	0x03c0	닻
0x05c1	0x03c1	닿
0x05c2	0x03c2	대
0x05c3	0x03c3	댁
0x05c4	0x03c4	댄
0x05c5	0x03c5	댈
0x05c6	0x03c6	댐
0x05c7	0x03c7	댑
0x05c8	0x03c8	댓
0x05c9	0x03c9	댔
0x05ca	0x03ca	댕
0x05cb	0x03cb	댜
0x05cc	0x03cc	더
0x05cd	0x03cd	덕
0x05ce	0x03ce	덖
0x05cf	0x03cf	던
0x05d0	0x03d0	덛
0x05d1	0x03d1	덜
0x05d2	0x03d2	덞
0x05d3	0x03d3	덟
0x05d4	0x03d4	덤
0x05d5	0x03d5	덥
0x05d6	0x03d6	덧
0x05d7	0x03d7	덩
0x05d8	0x03d8	덫
0x05d9	0x03d9	덮
0x05da	0x03da	데
0x05db	0x03db	덱
0x05dc	0x03dc	덴
0x05dd	0x03dd	델
0x05de	0x03de	뎀
0x05df	0x03df	뎁
0x05e0	0x03e0	뎃
0x05e1	0x03e1	뎄
0x05e2	0x03e2	뎅
0x05e3	0x03e3	뎌
0x05e4	0x03e4	뎐
0x05e5	0x03e5	뎔
0x05e6	0x03e6	뎠
0x05e7	0x03e7	뎡
0x05e8	0x03e8	뎨
0x05e9	0x03e9	뎬
0x05ea	0x03ea	도
0x05eb	0x03eb	독
0x05ec	0x03ec	돈
0x05ed	0x03ed	돋
0x05ee	0x03ee	돌
0x05ef	0x03ef	돎
0x05f0	0x03f0	돐
0x05f1	0x03f1	돔
0x05f2	0x03f2	돕
0x05f3	0x03f3	돗
0x05f4	0x03f4	동
0x05f5	0x03f5	돛
0x05f6	0x03f6	돝
0x05f7	0x03f7	돠
0x05f8	0x03f8	돤
0x05f9	0x03f9	돨
0x05fa	0x03fa	돼
0x05fb	0x03fb	됐
0x05fc	0x03fc	되
0x05fd	0x03fd	된
0x05fe	0x03fe	될
0x05ff	0x03ff	됨
0x0600	0x0400	됩
0x0601	0x0401	됫
0x0602	0x0402	됴
0x0603	0x0403	두
0x0604	0x0404	둑
0x0605	0x0405	둔
0x0606	0x0406	둘
0x0607	0x0407	둠
0x0608	0x0408	둡
0x0609	0x0409	둣
0x060a	0x040a	둥
0x060b	0x040b	둬
0x060c	0x040c	뒀
0x060d	0x040d	뒈
0x060e	0x040e	뒝
0x060f	0x040f	뒤
0x0610	0x0410	뒨
0x0611	0x0411	뒬
0x0612	0x0412	뒵
0x0613	0x0413	뒷
0x0614	0x0414	뒹
0x0615	0x0415	듀
0x0616	0x0416	듄
0x0617	0x0417	듈
0x0618	0x0418	듐
0x0619	0x0419	듕
0x061a	0x041a	드
0x061b	0x041b	득
0x061c	0x041c	든
0x061d	0x041d	듣
0x061e	0x041e	들
0x061f	0x041f	듦
0x0620	0x0420	듬
0x0621	0x0421	듭
0x0622	0x0422	듯
0x0623	0x0423	등
0x0624	0x0424	듸
0x0625	0x0425	디
0x0626	0x0426	딕
0x0627	0x0427	딘
0x0628	0x0428	딛
0x0629	0x0429	딜
0x062a	0x042a	딤
0x062b	0x042b	딥
0x062c	0x042c	딧
0x062d	0x042d	딨
0x062e	0x042e	딩
0x062f	0x042f	딪
0x0630	0x0430	따
0x0631	0x0431	딱
0x0632	0x0432	딴
0x0633	0x0433	딸
0x0634	0x0434	땀
0x0635	0x0435	땁
0x0636	0x0436	땃
0x0637	0x0437	땄
0x0638	0x0438	땅
0x0639	0x0439	땋
0x063a	0x043a	때
0x063b	0x043b	땍
0x063c	0x043c	땐
0x063d	0x043d	땔
0x063e	0x043e	땜
0x063f	0x043f	땝
0x0640	0x0440	땟
0x0641	0x0441	땠
0x0642	0x0442	땡
0x0643	0x0443	떠
0x0644	0x0444	떡
0x0645	0x0445	떤
0x0646	0x0446	떨
0x0647	0x0447	떪
0x0648	0x0448	떫
0x0649	0x0449	떰
0x064a	0x044a	떱
0x064b	0x044b	떳
0x064c	0x044c	떴
0x064d	0x044d	떵
0x064e	0x044e	떻
0x064f	0x044f	떼
0x0650	0x0450	떽
0x0651	0x0451	뗀
0x0652	0x0452	뗄
0x0653	0x0453	뗌
0x0654	0x0454	뗍
0x0655	0x0455	뗏
0x0656	0x0456	뗐
0x0657	0x0457	뗑
0x0658	0x0458	뗘
0x0659	0x0459	뗬
0x065a	0x045a	또
0x065b	0x045b	똑
0x065c	0x045c	똔
0x065d	0x045d	똘
0x065e	0x045e	똥
0x065f	0x045f	똬
0x0660	0x0460	똴
0x0661	0x0461	뙈
0x0662	0x0462	뙤
0x0663	0x0463	뙨
0x0664	0x0464	뚜
0x0665	0x0465	뚝
0x0666	0x0466	뚠
0x0667	0x0467	뚤
0x0668	0x0468	뚫
0x0669	0x0469	뚬
0x066a	0x046a	뚱
0x066b	0x046b	뛔
0x066c	0x046c	뛰
0x066d	0x046d	뛴
0x066e	0x046e	뛸
0x066f	0x046f	뜀
0x0670	0x0470	뜁
0x0671	0x0471	뜅
0x0672	0x0472	뜨
0x0673	0x0473	뜩
0x0674	0x0474	뜬
0x0675	0x0475	뜯
0x0676	0x0476	뜰
0x0677	0x0477	뜸
0x0678	0x0478	뜹
0x0679	0x0479	뜻
0x067a	0x047a	띄
0x067b	0x047b	띈
0x067c	0x047c	띌
0x067d	0x047d	띔
0x067e	0x047e	띕
0x067f	0x047f	띠
0x0680	0x0480	띤
0x0681	0x0481	띨
0x0682	0x0482	띰
0x0683	0x0483	띱
0x0684	0x0484	띳
0x0685	0x0485	띵
0x0686	0x0486	라
0x0687	0x0487	락
0x0688	0x0488	란
0x0689	0x0489	랄
0x068a	0x048a	람
0x068b	0x048b	랍
0x068c	0x048c	랏
0x068d	0x048d	랐
0x068e	0x048e	랑
0x068f	0x048f	랒
0x0690	0x0490	랖
0x0691	0x0491	랗
0x0692	0x0492	래
0x0693	0x0493	랙
0x0694	0x0494	랜
0x0695	0x0495	랠
0x0696	0x0496	램
0x0697	0x0497	랩
0x0698	0x0498	랫
0x0699	0x0499	랬
0x069a	0x049a	랭
0x069b	0x049b	랴
0x069c	0x049c	략
0x069d	0x049d	랸
0x069e	0x049e	럇
0x069f	0x049f	량
0x06a0	0x04a0	러
0x06a1	0x04a1	럭
0x06a2	0x04a2	런
0x06a3	0x04a3	럴
0x06a4	0x04a4	럼
0x06a5	0x04a5	럽
0x06a6	0x04a6	럿
0x06a7	0x04a7	렀
0x06a8	0x04a8	렁
0x06a9	0x04a9	렇
0x06aa	0x04aa	레
0x06ab	0x04ab	렉
0x06ac	0x04ac	렌
0x06ad	0x04ad	렐
0x06ae	0x04ae	렘
0x06af	0x04af	렙
0x06b0	0x04b0	렛
0x06b1	0x04b1	렝
0x06b2	0x04b2	려
0x06b3	0x04b3	력
0x06b4	0x04b4	련
0x06b5	0x04b5	렬
0x06b6	0x04b6	렴
0x06b7	0x04b7	렵
0x06b8	0x04b8	렷
0x06b9	0x04b9	렸
0x06ba	0x04ba	령
0x06bb	0x04bb	례
0x06bc	0x04bc	롄
0x06bd	0x04bd	롑
0x06be	0x04be	롓
0x06bf	0x04bf	로
0x06c0	0x04c0	록
0x06c1	0x04c1	론
0x06c2	0x04c2	롤
0x06c3	0x04c3	롬
0x06c4	0x04c4	롭
0x06c5	0x04c5	롯
0x06c6	0x04c6	롱
0x06c7	0x04c7	롸
0x06c8	0x04c8	롼
0x06c9	0x04c9	뢍
0x06ca	0x04ca	뢨
0x06cb	0x04cb	뢰
0x06cc	0x04cc	뢴
0x06cd	0x04cd	뢸
0x06ce	0x04ce	룀
0x06cf	0x04cf	룁
0x06d0	0x04d0	룃
0x06d1	0x04d1	룅
0x06d2	0x04d2	료
0x06d3	0x04d3	룐
0x06d4	0x04d4	룔
0x06d5	0x04d5	룝
0x06d6	0x04d6	룟
0x06d7	0x04d7	룡
0x06d8	0x04d8	루
0x06d9	0x04d9	룩
0x06da	0x04da	룬
0x06db	0x04db	룰
0x06dc	0x04dc	룸
0x06dd	0x04dd	룹
0x06de	0x04de	룻
0x06df	0x04df	룽
0x06e0	0x04e0	뤄
0x06e1	0x04e1	뤘
0x06e2	0x04e2	뤠
0x06e3	0x04e3	뤼
0x06e4	0x04e4	뤽
0x06e5	0x04e5	륀
0x06e6	0x04e6	륄
0x06e7	0x04e7	륌
0x06e8	0x04e8	륏
0x06e9	0x04e9	륑
0x06ea	0x04ea	류
0x06eb	0x04eb	륙
0x06ec	0x04ec	륜
0x06ed	0x04ed	률
0x06ee	0x04ee	륨
0x06ef	0x04ef	륩
0x06f0	0x04f0	륫
0x06f1	0x04f1	륭
0x06f2	0x04f2	르
0x06f3	0x04f3	륵
0x06f4	0x04f4	른
0x06f5	0x04f5	를
0x06f6	0x04f6	름
0x06f7	0x04f7	릅
0x06f8	0x04f8	릇
0x06f9	0x04f9	릉
0x06fa	0x04fa	릊
0x06fb	0x04fb	릍
0x06fc	0x04fc	릎
0x06fd	0x04fd	리
0x06fe	0x04fe	릭
0x06ff	0x04ff	린
0x0700	0x0500	릴
0x0701	0x0501	림
0x0702	0x0502	립
0x0703	0x0503	릿
0x0704	0x0504	링
0x0705	0x0505	마
0x0706	0x0506	막
0x0707	0x0507	만
0x0708	0x0508	많
0x0709	0x0509	맏
0x070a	0x050a	말
0x070b	0x050b	맑
0x070c	0x050c	맒
0x070d	0x050d	맘
0x070e	0x050e	맙
0x070f	0x050f	맛
0x0710	0x0510	망
0x0711	0x0511	맞
0x0712	0x0512	맡
0x0713	0x0513	맣
0x0714	0x0514	매
0x0715	0x0515	맥
0x0716	0x0516	맨
0x0717	0x0517	맬
0x0718	0x0518	맴
0x0719	0x0519	맵
0x071a	0x051a	맷
0x071b	0x051b	맸
0x071c	0x051c	맹
0x071d	0x051d	맺
0x071e	0x051e	먀
0x071f	0x051f	먁
0x0720	0x0520	먈
0x0721	0x0521	먕
0x0722	0x0522	머
0x0723	0x0523	먹
0x0724	0x0524	먼
0x0725	0x0525	멀
0x0726	0x0526	멂
0x0727	0x0527	멈
0x0728	0x0528	멉
0x0729	0x0529	멋
0x072a	0x052a	멍
0x072b	0x052b	멎
0x072c	0x052c	멓
0x072d	0x052d	메
0x072e	0x052e	멕
0x072f	0x052f	멘
0x0730	0x0530	멜
0x0731	0x0531	멤
0x0732	0x0532	멥
0x0733	0x0533	멧
0x0734	0x0534	멨
0x0735	0x0535	멩
0x0736	0x0536	며
0x0737	0x0537	멱
0x0738	0x0538	면
0x0739	0x0539	멸
0x073a	0x053a	몃
0x073b	0x053b	몄
0x073c	0x053c	명
0x073d	0x053d	몇
0x073e	0x053e	몌
0x073f	0x053f	모
0x0740	0x0540	목
0x0741	0x0541	몫
0x0742	0x0542	몬
0x0743	0x0543	몰
0x0744	0x0544	몲
0x0745	0x0545	몸
0x0746	0x0546	몹
0x0747	0x0547	못
0x0748	0x0548	몽
0x0749	0x0549	뫄
0x074a	0x054a	뫈
0x074b	0x054b	뫘
0x074c	0x054c	뫙
0x074d	0x054d	뫼
0x074e	0x054e	묀
0x074f	0x054f	묄
0x0750	0x0550	묍
0x0751	0x0551	묏
0x0752	0x0552	묑
0x0753	0x0553	묘
0x0754	0x0554	묜
0x0755	0x0555	묠
0x0756	0x0556	묩
0x0757	0x0557	묫
0x0758	0x0558	무
0x0759	0x0559	묵
0x075a	0x055a	묶
0x075b	0x055b	문
0x075c	0x055c	묻
0x075d	0x055d	물
0x075e	0x055e	묽
0x075f	0x055f	묾
0x0760	0x0560	뭄
0x0761	0x0561	뭅
0x0762	0x0562	뭇
0x0763	0x0563	뭉
0x0764	0x0564	뭍
0x0765	0x0565	뭏
0x0766	0x0566	뭐
0x0767	0x0567	뭔
0x0768	0x0568	뭘
0x0769	0x0569	뭡
0x076a	0x056a	뭣
0x076b	0x056b	뭬
0x076c	0x056c	뮈
0x076d	0x056d	뮌
0x076e	0x056e	뮐
0x076f	0x056f	뮤
0x0770	0x0570	뮨
0x0771	0x0571	뮬
0x0772	0x0572	뮴
0x0773	0x0573	뮷
